market,funding_total_usd,region,city,funding_rounds,Founding_year,first_funding_year,last_funding_year,first_funding_gap,last_funding_gap,first_last_funding_gap,success
47,250000,161,697,1,0,2008,2008,0,0,0,0
154,10000000,68,307,1,2000,2013,2013,13,13,0,0
29,1549997,38,37,4,2009,2010,2014,1,5,4,0
79,3900000,104,358,2,2011,2007,2009,-4,-2,2,1
309,16000000,131,573,1,2010,2006,2006,-4,-4,0,0
1,72000000,131,530,6,2005,2006,2011,1,6,5,1
29,1025000,105,11,2,0,2010,2011,0,0,1,1
29,9140433,150,645,2,1989,2009,2010,20,21,1,0
204,20000000,159,544,1,0,2006,2006,0,0,0,1
29,30990999,125,536,3,1989,2013,2013,24,24,0,0
63,5000000,112,69,1,1972,2005,2005,33,33,0,0
29,1700000,159,544,1,0,2007,2007,0,0,0,0
327,0,36,535,1,1982,1995,1995,13,13,0,1
63,7500000,137,567,1,2068,2009,2009,-59,-59,0,1
29,17500000,137,567,1,0,2009,2009,0,0,0,0
363,22600000,131,624,2,2004,2005,2008,1,4,3,0
171,5550000,137,567,3,2010,2010,2012,0,2,2,1
29,24300000,137,321,3,2008,2008,2009,0,1,1,0
29,12600000,104,449,2,0,2013,2014,0,0,1,0
289,10000000,131,101,2,2001,2003,2007,2,6,4,1
1,6000000,131,432,2,2007,2007,2007,0,0,0,0
126,9350000,122,517,2,2000,2008,2010,8,10,2,1
29,75000000,128,541,1,2006,2013,2013,7,7,0,1
289,18000000,117,634,1,1996,2007,2007,11,11,0,0
29,400000,72,295,1,2008,2011,2011,3,3,0,0
29,42000000,131,242,2,2003,2007,2011,4,8,4,1
309,225000,131,486,1,2007,2007,2007,0,0,0,1
309,250000,131,569,1,0,2007,2007,0,0,0,0
309,31828793,131,580,3,2008,2008,2010,0,2,2,1
115,5600000,9,13,1,0,2006,2006,0,0,0,1
235,200000,49,105,1,2010,2010,2010,0,0,0,0
115,2000000,11,38,1,0,2010,2010,0,0,0,0
148,1386789,110,479,2,1996,2009,2009,13,13,0,0
210,1250016,142,616,1,1996,2014,2014,18,18,0,0
115,6000000,138,579,1,2013,2013,2013,0,0,0,0
301,0,104,449,1,0,2006,2006,0,0,0,1
167,384410000,144,557,9,1999,1999,2014,0,15,15,1
146,4800000,101,238,1,2004,2012,2012,8,8,0,0
273,0,116,493,1,2008,2008,2008,0,0,0,0
309,28306508,9,188,4,1979,2010,2011,31,32,1,0
171,3200000,116,376,1,2006,2009,2009,3,3,0,1
309,59000000,159,186,3,2000,2000,2007,0,7,7,1
146,4041700,110,479,2,2004,2011,2012,7,8,1,0
29,5800000,131,530,1,0,2006,2006,0,0,0,1
145,5820307,137,660,1,1999,2012,2012,13,13,0,1
210,160279779,131,413,15,1999,1999,2010,0,11,11,1
29,43500000,131,398,4,2001,2003,2009,2,8,6,0
309,2900000,159,670,2,2012,2012,2013,0,1,1,1
1,4580000,131,530,1,0,2010,2010,0,0,0,0
115,22579243,112,69,8,2003,2008,2014,5,11,6,0
146,44000000,93,559,3,2006,2009,2012,3,6,3,0
102,70000,65,15,3,2004,2012,2013,8,9,1,0
29,4513712,59,265,3,2010,2011,2013,1,3,2,0
153,6000000,159,534,1,0,2008,2008,0,0,0,1
115,9600000,140,593,2,2007,2009,2012,2,5,3,0
115,4000000,131,569,1,2007,2010,2010,3,3,0,1
309,11500000,11,38,2,2010,2010,2011,0,1,1,0
275,120000,140,593,3,2012,2012,2013,0,1,1,1
115,9900000,120,512,3,2010,2010,2011,0,1,1,1
1,44250000,123,189,8,2008,2008,2013,0,5,5,1
79,715000,131,569,3,2007,2007,2009,0,2,2,1
309,10000000,104,449,1,2001,2006,2006,5,5,0,1
145,1358979,118,499,3,2003,2006,2012,3,9,6,0
198,49770145,131,580,5,2007,2007,2012,0,5,5,0
115,4000000,30,139,1,1998,2005,2005,7,7,0,1
79,800000,9,34,1,2009,2009,2009,0,0,0,1
102,800000,131,624,1,2007,2007,2007,0,0,0,0
115,54950000,159,534,8,0,2002,2009,0,0,7,1
137,40000,105,527,1,2009,2010,2010,1,1,0,0
309,7000000,22,240,2,2006,2007,2009,1,3,2,0
8,28000,131,569,1,0,2013,2013,0,0,0,1
210,1155000,131,569,2,2010,2010,2011,0,1,1,1
1,30240000,131,486,3,2001,2007,2010,6,9,3,1
264,23660962,36,535,2,2002,2007,2009,5,7,2,1
328,6250000,131,569,2,2012,2012,2013,0,1,1,1
105,15000000,159,186,1,0,2008,2008,0,0,0,0
115,14500000,66,296,1,1998,2005,2005,7,7,0,1
29,32000000,131,94,1,0,2008,2008,0,0,0,0
29,170466,105,85,1,0,2011,2011,0,0,0,1
309,13292327,131,573,2,2007,2009,2009,2,2,0,1
208,5000000,159,278,1,0,2006,2006,0,0,0,1
20,36300000,137,107,3,2003,2008,2011,5,8,3,0
309,1000000,91,460,2,2011,2011,2012,0,1,1,1
29,5660000,159,534,1,1983,2012,2012,29,29,0,1
79,4600000,131,569,2,2007,2007,2009,0,2,2,1
47,0,109,357,1,2009,2009,2009,0,0,0,0
289,20000000,131,624,1,2004,2007,2007,3,3,0,0
29,122000000,137,567,4,2009,2009,2012,0,3,3,1
146,25000000,131,486,1,2005,2008,2008,3,3,0,1
145,2648258,40,23,3,0,2007,2013,0,0,6,1
47,90000000,93,205,1,0,2007,2007,0,0,0,0
309,15000000,131,569,2,2005,2005,2007,0,2,2,1
20,0,79,362,1,2012,2012,2012,0,0,0,0
309,12000000,17,666,1,0,2006,2006,0,0,0,1
286,42000000,131,624,3,1997,2005,2008,8,11,3,1
286,26914000,131,486,3,2000,2000,2006,0,6,6,1
146,64080000,131,432,3,2003,2005,2009,2,6,4,1
286,10450000,136,563,1,1976,2009,2009,33,33,0,0
309,1750000,131,432,1,2010,2011,2011,1,1,0,0
210,1100000,69,661,1,2001,2011,2011,10,10,0,0
309,622000,131,530,1,1998,2007,2007,9,9,0,0
115,0,104,449,1,2001,2012,2012,11,11,0,1
212,2000000,131,580,1,2011,2013,2013,2,2,0,1
364,955000,131,569,2,2005,2006,2009,1,4,3,1
1,15564591,159,670,3,2005,2006,2009,1,4,3,0
137,12000000,131,504,1,2002,2005,2005,3,3,0,1
17,50000,104,449,1,2007,2007,2007,0,0,0,0
137,0,79,679,2,2006,2006,2007,0,1,1,0
79,0,93,416,1,2008,2009,2009,1,1,0,1
102,12200000,104,449,3,0,2011,2013,0,0,2,1
309,6883956,123,189,3,2007,2008,2010,1,3,2,1
29,28257446,131,242,3,0,2008,2010,0,0,2,0
102,12155000,148,144,1,2009,2011,2011,2,2,0,0
309,200000,107,476,1,2004,2010,2010,6,6,0,0
94,18664050,11,38,1,1996,2011,2011,15,15,0,1
309,20000000,131,580,1,2003,2006,2006,3,3,0,1
301,25000000,131,468,2,1996,1996,1999,0,3,3,1
269,28000,131,569,1,2013,2013,2013,0,0,0,1
226,20000000,59,620,1,1985,2009,2009,24,24,0,1
79,21400000,38,177,4,0,2006,2014,0,0,8,1
148,5700000,32,648,1,2007,2012,2012,5,5,0,1
8,53000000,131,565,4,2005,2005,2010,0,5,5,1
1,340419,159,670,1,2012,2012,2012,0,0,0,0
146,50000000,131,624,1,2003,2007,2007,4,4,0,1
309,0,131,569,1,1996,2009,2009,13,13,0,1
259,1900000,131,569,2,2008,2011,2012,3,4,1,1
214,0,104,449,1,2009,2010,2010,1,1,0,0
47,0,13,24,1,2007,2013,2013,6,6,0,1
309,4000000,131,580,1,2003,2007,2007,4,4,0,0
29,43500000,123,522,4,1863,2001,2008,138,145,7,1
146,37673932,131,398,6,2006,2009,2013,3,7,4,1
210,200000,17,453,1,2011,2011,2011,0,0,0,0
